代码,名称,选中日期,选中当日涨跌幅,选中1日涨跌幅,选中2日涨跌幅,选中3日涨跌幅,选中4日涨跌幅,选中5日涨跌幅,选中6日涨跌幅,选中7日涨跌幅,选中8日涨跌幅,选中9日涨跌幅,选中10日涨跌幅
300990,同飞股份,2021-10-19T00:00:00+08:00,10.18,-2.43,4.14,2.32,10.57,-3.63,9.48,-4.19,5.49,15.99,1.36
300990,同飞股份,2021-10-25T00:00:00+08:00,10.57,-3.63,9.48,-4.19,5.49,15.99,1.36,-5.8,0.62,-6.64,-0.78
300990,同飞股份,2021-11-01T00:00:00+08:00,15.99,1.36,-5.8,0.62,-6.64,-0.78,2.14,5.73,4.0,5.14,-6.01
300995,奇德新材,2021-05-26T00:00:00+08:00,223.44,-8.63,10.57,1.66,-3.35,-2.22,-12.59,-9.21,-3.76,0.06,-2.63
300995,奇德新材,2021-05-28T00:00:00+08:00,10.57,1.66,-3.35,-2.22,-12.59,-9.21,-3.76,0.06,-2.63,-1.16,1.24
300995,奇德新材,2021-07-28T00:00:00+08:00,20.02,11.11,-9.29,15.39,-1.54,-5.69,-3.88,2.52,-4.85,2.33,5.16
300995,奇德新材,2021-07-29T00:00:00+08:00,11.11,-9.29,15.39,-1.54,-5.69,-3.88,2.52,-4.85,2.33,5.16,-1.01
300995,奇德新材,2021-08-02T00:00:00+08:00,15.39,-1.54,-5.69,-3.88,2.52,-4.85,2.33,5.16,-1.01,-0.76,-1.65
300995,奇德新材,2021-09-02T00:00:00+08:00,20.0,-6.83,3.2,-0.6,-0.12,-2.0,1.14,3.03,-3.65,1.6,5.49
301004,嘉益股份,2021-06-25T00:00:00+08:00,308.32,-3.26,-5.77,2.86,-13.04,-9.46,-0.21,7.07,-3.62,-4.95,0.78
300996,普联软件,2021-06-03T00:00:00+08:00,227.73,-21.73,-6.74,2.81,-5.82,20.0,20.0,-13.56,13.42,-3.41,-4.43
300996,普联软件,2021-06-10T00:00:00+08:00,20.0,20.0,-13.56,13.42,-3.41,-4.43,4.0,-2.14,-2.6,-3.5,-8.47
300996,普联软件,2021-06-11T00:00:00+08:00,20.0,-13.56,13.42,-3.41,-4.43,4.0,-2.14,-2.6,-3.5,-8.47,1.15
300996,普联软件,2021-06-16T00:00:00+08:00,13.42,-3.41,-4.43,4.0,-2.14,-2.6,-3.5,-8.47,1.15,-1.53,2.94
300997,欢乐家,2021-06-02T00:00:00+08:00,527.53,-16.13,-11.73,-1.96,-6.89,0.0,-4.15,1.79,-6.56,3.09,0.66
300997,欢乐家,2021-07-01T00:00:00+08:00,10.18,-6.29,-0.1,0.1,19.98,-11.06,0.39,1.11,0.71,-0.85,2.67
300997,欢乐家,2021-07-07T00:00:00+08:00,19.98,-11.06,0.39,1.11,0.71,-0.85,2.67,-4.83,-5.67,0.78,1.03
301003,江苏博云,2021-06-01T00:00:00+08:00,32.59,2.38,-10.78,-1.29,-4.96,-0.85,1.38,-1.55,1.15,-5.11,-2.4
301001,凯淳股份,2021-05-28T00:00:00+08:00,137.55,-14.65,9.12,0.88,-11.75,-11.07,0.38,-2.45,1.37,6.76,-7.17
301001,凯淳股份,2021-10-11T00:00:00+08:00,10.82,3.14,3.38,4.27,-6.99,1.62,1.07,3.42,7.53,-4.29,-6.01
301002,崧盛股份,2021-06-07T00:00:00+08:00,449.87,-8.6,-12.04,-2.19,-8.44,6.66,-6.59,-4.26,-1.63,2.29,11.13
301002,崧盛股份,2021-06-22T00:00:00+08:00,11.13,4.78,-3.5,-6.31,6.47,2.72,0.06,-2.11,-2.41,13.75,3.26
301002,崧盛股份,2021-07-05T00:00:00+08:00,13.75,3.26,-0.61,5.64,-3.43,4.85,-3.89,-1.77,-4.58,3.37,-1.25
301002,崧盛股份,2021-07-29T00:00:00+08:00,10.31,-6.46,-4.28,-0.33,-0.1,1.64,-5.29,-2.18,0.93,9.35,-3.33
301002,崧盛股份,2021-11-11T00:00:00+08:00,12.7,0.05,0.81,0.19,1.27,3.54,-2.47,2.52,-3.55,-0.5,-0.92
301008,宏昌科技,2021-06-11T00:00:00+08:00,93.27,-19.91,-6.89,-1.53,-2.57,1.87,0.53,-3.46,-3.23,0.76,0.2
301013,利和兴,2021-06-29T00:00:00+08:00,297.36,6.49,-16.26,-12.85,-3.08,20.0,-1.02,-9.06,-4.33,0.33,1.96
301013,利和兴,2021-07-06T00:00:00+08:00,20.0,-1.02,-9.06,-4.33,0.33,1.96,-1.01,3.37,-5.77,2.63,7.8
301013,利和兴,2021-10-18T00:00:00+08:00,10.0,0.12,-2.99,20.02,-5.81,2.8,-4.88,1.43,-4.7,13.16,-5.33
301013,利和兴,2021-10-21T00:00:00+08:00,20.02,-5.81,2.8,-4.88,1.43,-4.7,13.16,-5.33,-3.5,-0.73,-0.18
301013,利和兴,2021-10-29T00:00:00+08:00,13.16,-5.33,-3.5,-0.73,-0.18,1.11,3.44,2.3,6.44,2.5,-0.57
301019,宁波色母,2021-06-28T00:00:00+08:00,100.17,-4.37,-2.53,-7.41,-6.12,5.88,2.9,-3.99,0.57,3.79,-2.97
301023,江南奕帆,2021-07-07T00:00:00+08:00,78.7,-18.35,-3.97,-1.0,-0.2,-1.51,-3.02,0.21,-2.95,-1.33,0.45
301023,江南奕帆,2021-07-29T00:00:00+08:00,12.87,2.22,-2.45,-2.1,0.73,-3.27,0.87,-1.04,9.16,9.84,-2.12
301022,海泰科,2021-07-02T00:00:00+08:00,80.46,-19.17,0.08,-4.52,-1.11,-4.36,-1.53,-0.83,1.3,-3.85,-0.89
301022,海泰科,2021-08-17T00:00:00+08:00,10.15,-2.67,-10.89,-3.87,3.08,-1.45,1.76,-2.76,-3.88,-0.26,-2.35
301022,海泰科,2021-11-19T00:00:00+08:00,20.01,20.0,19.64,-0.29,0.0,3.08,-2.61,-11.59,-7.51,1.05,-7.13
301022,海泰科,2021-11-22T00:00:00+08:00,20.0,19.64,-0.29,0.0,3.08,-2.61,-11.59,-7.51,1.05,-7.13,0.8
301022,海泰科,2021-11-23T00:00:00+08:00,19.64,-0.29,0.0,3.08,-2.61,-11.59,-7.51,1.05,-7.13,0.8,-6.73
301030,仕净科技,2021-07-22T00:00:00+08:00,345.41,7.32,-9.6,10.74,3.8,3.23,-8.98,0.91,-5.74,4.58,19.99
301030,仕净科技,2021-07-27T00:00:00+08:00,10.74,3.8,3.23,-8.98,0.91,-5.74,4.58,19.99,-4.06,20.0,-0.05
301030,仕净科技,2021-08-05T00:00:00+08:00,19.99,-4.06,20.0,-0.05,0.13,-4.98,-2.12,2.72,-12.03,2.49,2.28
301030,仕净科技,2021-08-09T00:00:00+08:00,20.0,-0.05,0.13,-4.98,-2.12,2.72,-12.03,2.49,2.28,-2.23,3.59
301030,仕净科技,2021-11-09T00:00:00+08:00,10.87,1.01,-2.96,-0.73,-3.4,0.21,-0.31,1.41,2.63,20.0,-2.7
301030,仕净科技,2021-11-22T00:00:00+08:00,20.0,-2.7,0.25,3.39,-3.04,-0.38,1.13,0.12,-8.65,-4.81,-0.6
301028,东亚机械,2021-07-20T00:00:00+08:00,215.82,-14.13,-5.83,-1.18,-5.15,-5.43,0.92,1.98,-4.53,7.45,-1.58
301028,东亚机械,2021-08-23T00:00:00+08:00,10.04,-0.27,6.44,-2.99,5.51,2.24,-8.39,-0.86,2.21,-2.75,20.01
301028,东亚机械,2021-09-06T00:00:00+08:00,20.01,0.06,-4.83,-3.3,-3.72,2.22,2.91,-0.06,1.45,1.72,-3.27
301032,新柴股份,2021-07-22T00:00:00+08:00,189.34,-12.31,-2.3,-3.33,2.02,0.74,-8.58,3.66,-2.67,1.77,3.48
301032,新柴股份,2021-08-11T00:00:00+08:00,19.97,-6.7,-4.55,7.89,-7.94,-0.97,-5.83,-1.77,4.75,0.63,4.74
301032,新柴股份,2021-09-27T00:00:00+08:00,20.03,-6.7,2.64,-1.14,8.38,-1.33,-1.15,1.64,5.25,-6.52,-0.14
301042,安联锐视,2021-08-05T00:00:00+08:00,56.76,-14.02,0.34,-0.79,-4.14,-2.02,-3.69,1.63,2.3,-3.73,1.59
301045,天禄科技,2021-08-13T00:00:00+08:00,149.34,-12.48,1.1,-0.06,-2.9,-4.73,2.91,1.14,-0.74,3.3,-2.56
301035,润丰股份,2021-07-28T00:00:00+08:00,73.59,-6.3,0.2,12.67,10.01,1.66,4.68,-0.51,-1.72,1.27,-0.3
301035,润丰股份,2021-08-02T00:00:00+08:00,12.67,10.01,1.66,4.68,-0.51,-1.72,1.27,-0.3,6.24,-0.78,10.24
301035,润丰股份,2021-08-03T00:00:00+08:00,10.01,1.66,4.68,-0.51,-1.72,1.27,-0.3,6.24,-0.78,10.24,-8.39
301035,润丰股份,2021-08-16T00:00:00+08:00,10.24,-8.39,1.0,1.01,1.18,1.15,-1.27,-0.66,1.76,8.4,-0.82
301040,中环海陆,2021-08-03T00:00:00+08:00,238.69,-8.72,-6.79,3.4,3.39,-6.22,8.8,-1.97,-5.14,5.87,-4.69
301040,中环海陆,2021-09-02T00:00:00+08:00,20.01,20.01,-8.12,3.05,-7.73,-2.38,-5.9,1.4,-1.96,7.52,-7.76
301040,中环海陆,2021-09-03T00:00:00+08:00,20.01,-8.12,3.05,-7.73,-2.38,-5.9,1.4,-1.96,7.52,-7.76,5.07
301040,中环海陆,2021-11-04T00:00:00+08:00,19.99,-1.53,8.16,2.38,-1.35,-3.98,5.27,-4.08,-7.3,6.82,-1.63
301036,双乐股份,2021-07-29T00:00:00+08:00,116.68,-5.84,-6.16,0.94,2.63,1.7,-3.94,2.56,-0.65,0.84,6.14
301047,义翘神州,2021-08-16T00:00:00+08:00,68.41,6.56,17.96,-0.25,-6.54,-2.94,3.02,-4.2,-3.02,-8.36,-1.71
301047,义翘神州,2021-08-18T00:00:00+08:00,17.96,-0.25,-6.54,-2.94,3.02,-4.2,-3.02,-8.36,-1.71,1.31,-4.06
301047,义翘神州,2021-11-16T00:00:00+08:00,10.09,1.62,-3.6,1.0,-1.76,1.15,5.05,0.96,2.35,3.0,-1.94
301041,金百泽,2021-08-11T00:00:00+08:00,423.53,-10.11,0.2,-8.33,8.16,-5.27,-2.59,-7.42,20.0,3.37,-11.65
301041,金百泽,2021-08-23T00:00:00+08:00,20.0,3.37,-11.65,2.75,-2.28,-3.49,-2.26,2.71,4.85,-1.62,1.21
301041,金百泽,2021-10-13T00:00:00+08:00,20.01,-5.52,-1.44,1.99,-2.73,2.04,-5.0,-2.07,1.16,0.87,-9.47
301041,金百泽,2021-11-26T00:00:00+08:00,20.0,-3.39,-2.94,-2.94,-8.1,-2.86,-1.73,-1.34,1.06,0.07,0.59
301049,超越科技,2021-08-24T00:00:00+08:00,118.72,-3.55,-6.37,-4.97,0.11,1.93,-5.83,2.24,-0.14,0.14,-0.81
301049,超越科技,2021-09-17T00:00:00+08:00,20.01,-9.46,2.65,-8.09,-5.3,1.04,-6.71,1.51,1.7,1.89,-0.36
301058,中粮工科,2021-09-09T00:00:00+08:00,283.1,-10.22,-4.34,9.5,-1.09,1.11,-8.13,1.02,3.79,-3.9,4.14
301059,金三江,2021-09-13T00:00:00+08:00,267.12,5.86,-16.35,10.34,-9.82,-9.36,-1.1,-7.25,-5.38,-0.83,-4.51
301059,金三江,2021-09-16T00:00:00+08:00,10.34,-9.82,-9.36,-1.1,-7.25,-5.38,-0.83,-4.51,1.03,1.02,-0.55
301059,金三江,2021-10-25T00:00:00+08:00,10.95,-3.29,-2.6,-4.41,1.17,1.91,-7.48,0.27,0.16,0.69,1.63
301059,金三江,2021-11-24T00:00:00+08:00,13.87,3.37,-7.29,-1.41,-2.9,0.99,-4.5,-1.52,-4.37,-1.38,0.97
301062,上海艾录,2021-09-14T00:00:00+08:00,588.82,-18.64,-8.03,3.75,3.05,5.98,-13.76,-9.24,1.52,-5.6,3.1
301068,大地海洋,2021-09-28T00:00:00+08:00,158.44,-15.0,-3.68,1.01,-5.62,-0.78,2.07,2.03,6.18,-2.17,-4.53
301065,本立科技,2021-09-14T00:00:00+08:00,84.4,-8.54,-10.73,-9.17,-4.01,-0.73,-7.55,-3.67,2.82,-6.76,2.28
301065,本立科技,2021-11-09T00:00:00+08:00,11.17,19.99,-4.14,10.91,-0.53,-9.61,0.75,-5.97,1.02,2.72,1.18
301065,本立科技,2021-11-10T00:00:00+08:00,19.99,-4.14,10.91,-0.53,-9.61,0.75,-5.97,1.02,2.72,1.18,10.44
301065,本立科技,2021-11-12T00:00:00+08:00,10.91,-0.53,-9.61,0.75,-5.97,1.02,2.72,1.18,10.44,1.3,4.55
301065,本立科技,2021-11-24T00:00:00+08:00,10.44,1.3,4.55,12.02,-1.97,-10.91,-4.23,2.86,-6.79,6.35,-1.17
301065,本立科技,2021-11-29T00:00:00+08:00,12.02,-1.97,-10.91,-4.23,2.86,-6.79,6.35,-1.17,5.7,-3.12,-6.71
301071,力量钻石,2021-09-24T00:00:00+08:00,1112.42,-12.0,-2.26,-2.97,-2.77,0.13,18.13,-1.66,5.93,11.19,-0.71
301071,力量钻石,2021-10-11T00:00:00+08:00,18.13,-1.66,5.93,11.19,-0.71,13.41,-5.43,1.85,5.78,-5.46,4.2
301071,力量钻石,2021-10-14T00:00:00+08:00,11.19,-0.71,13.41,-5.43,1.85,5.78,-5.46,4.2,-11.56,-0.91,-2.99
301071,力量钻石,2021-10-18T00:00:00+08:00,13.41,-5.43,1.85,5.78,-5.46,4.2,-11.56,-0.91,-2.99,7.94,-0.5
301072,中捷精工,2021-09-29T00:00:00+08:00,225.2,-15.0,0.97,-2.26,1.28,19.99,-7.6,-0.96,3.05,-4.2,-4.48
301072,中捷精工,2021-10-13T00:00:00+08:00,19.99,-7.6,-0.96,3.05,-4.2,-4.48,-2.48,1.15,2.42,19.99,2.05
301072,中捷精工,2021-10-26T00:00:00+08:00,19.99,2.05,-1.48,-3.5,1.67,-1.45,-5.41,5.21,0.36,5.61,-1.24
301072,中捷精工,2021-11-17T00:00:00+08:00,20.01,19.99,20.01,-1.58,1.95,20.0,-9.63,-3.88,1.88,8.03,8.66
301072,中捷精工,2021-11-18T00:00:00+08:00,19.99,20.01,-1.58,1.95,20.0,-9.63,-3.88,1.88,8.03,8.66,-7.04
301072,中捷精工,2021-11-19T00:00:00+08:00,20.01,-1.58,1.95,20.0,-9.63,-3.88,1.88,8.03,8.66,-7.04,-5.96
301072,中捷精工,2021-11-24T00:00:00+08:00,20.0,-9.63,-3.88,1.88,8.03,8.66,-7.04,-5.96,-5.57,-3.27,3.22
301078,孩子王,2021-10-14T00:00:00+08:00,303.81,-14.03,3.1,3.15,-6.1,7.95,-2.55,-4.75,-1.6,-12.88,-3.9
301078,孩子王,2021-11-24T00:00:00+08:00,12.08,-3.49,4.1,-3.47,-3.23,1.37,-3.56,3.3,-3.47,-3.48,1.57
